,precipIntensity,precipProbability,temperature,windSpeed,label
0,0.0,0.0,41.24,22.44,1
1,0.0,0.0,41.28,26.34,1
2,0.0,0.0,41.14,22.56,1
3,0.0,0.0,42.95,23.52,1
4,0.0,0.0,42.91,23.65,1
5,0.002,0.04,42.85,18.99,1
6,0.0,0.0,43.18,14.55,1
7,0.0,0.0,44.85,25.31,1
8,0.0,0.0,45.05,31.03,1
9,0.0,0.0,45.38,45.79,1
10,0.0,0.0,47.07,66.11,1
11,0.0,0.0,47.84,28.08,1
12,0.0,0.0,50.88,25.83,1
13,0.0,0.0,51.14,29.21,1
14,0.0,0.0,50.7,31.1,1
15,0.0,0.0,52.01,25.45,1
16,0.0,0.0,51.64,23.96,1
17,0.0,0.0,51.22,23.96,1
18,0.0,0.0,49.06,19.72,1
19,0.0,0.0,48.71,18.89,1
20,0.0,0.0,47.4,7.15,1
21,0.0,0.0,45.47,8.64,1
22,0.0,0.0,42.51,7.99,1
23,0.0153,1.0,42.95,8.38,1
24,0.004,0.88,45.89,30.16,1
25,0.0213,1.0,46.29,36.16,1
26,0.0,0.0,45.59,15.45,1
27,0.004,0.24,44.14,19.71,1
28,0.013000000000000001,1.0,45.11,19.13,1
29,0.009000000000000001,1.0,45.72,18.07,1
30,0.003,0.16,46.2,19.08,1
31,0.006999999999999999,1.0,46.3,21.58,1
32,0.0,0.0,48.05,18.39,1
33,0.0033,0.15,48.57,21.37,1
34,0.016,1.0,50.9,26.98,1
35,0.0,0.0,52.76,30.46,1
36,0.0,0.0,51.26,54.88,1
37,0.0,0.0,55.02,62.06,1
38,0.0,0.0,54.24,29.2,1
39,0.0,0.0,55.55,27.73,1
40,0.0,0.0,52.83,27.63,1
41,0.0,0.0,53.38,20.21,1
42,0.0,0.0,52.73,20.56,1
43,0.0,0.0,49.38,15.84,0
44,0.0,0.0,48.63,15.86,0
45,0.0,0.0,46.72,10.21,0
46,0.0,0.0,45.45,7.79,0
47,0.0,0.0,47.98,9.3,0
48,0.009000000000000001,1.0,48.54,27.71,0
49,0.004,0.74,49.15,19.47,0
50,0.005,1.0,46.77,10.34,0
51,0.006999999999999999,1.0,48.49,16.98,0
52,0.0,0.0,49.4,12.28,0
53,0.003,0.05,50.98,17.23,0
54,0.0,0.0,52.74,18.42,0
55,0.0,0.0,52.64,17.11,0
56,0.0,0.0,53.69,16.02,0
57,0.0,0.0,53.77,22.26,0
950,0.0,0.0,59.02,6.73,0
951,0.0,0.0,56.05,3.53,0
952,0.0,0.0,52.93,5.47,0
953,0.0,0.0,51.98,2.93,0
954,0.0,0.0,50.64,5.09,0
955,0.0,0.0,51.68,4.68,0
956,0.0,0.0,51.37,5.7,0
957,0.0,0.0,53.19,6.92,0
958,0.0,0.0,53.66,7.16,0
959,0.0,0.0,56.44,9.58,0
960,0.0,0.0,58.69,8.44,0
961,0.0,0.0,60.86,9.41,0
962,0.0,0.0,62.78,9.27,0
963,0.0,0.0,64.86,9.3,0
964,0.0,0.0,65.92,6.48,0
965,0.0,0.0,67.52,8.58,0
966,0.0,0.0,66.41,10.45,0
967,0.0,0.0,67.34,13.49,0
968,0.0,0.0,65.82,10.0,0
969,0.0,0.0,63.19,7.46,0
970,0.0,0.0,58.91,8.69,0
971,0.0,0.0,55.17,6.53,0
972,0.0,0.0,52.95,3.96,0
973,0.0,0.0,51.6,5.96,0
974,0.0,0.0,51.93,2.24,0
975,0.0,0.0,49.42,3.53,0
976,0.0,0.0,46.96,0.64,0
977,0.0,0.0,46.94,0.71,0
978,0.0,0.0,45.18,0.88,0
979,0.0,0.0,45.24,2.93,0
980,0.0,0.0,46.8,3.31,0
981,0.0,0.0,49.19,1.29,0
