color,precipIntensity,precipProbability,summary,temperature,timestamp,visibility,windSpeed
yellow,0.0,0.0,Overcast,44.16,2014-11-21 06:00:00,6.216,3.07
green,0.0,0.0,Overcast,44.95,2014-11-21 07:00:00,5.502,3.57
green,0.0,0.0,Mostly Cloudy,44.81,2014-11-21 08:00:00,4.038,4.29
green,0.0,0.0,Mostly Cloudy,45.55,2014-11-21 09:00:00,4.357,4.67
green,0.0,0.0,Mostly Cloudy,46.67,2014-11-21 10:00:00,4.625,5.46
green,0.0,0.0,Mostly Cloudy,48.06,2014-11-21 11:00:00,5.589,6.85
green,0.0,0.0,Mostly Cloudy,48.71,2014-11-21 12:00:00,5.182,7.53
green,0.0,0.0,Mostly Cloudy,48.82,2014-11-21 13:00:00,6.022,9.09
green,0.0,0.0,Mostly Cloudy,48.93,2014-11-21 14:00:00,6.001,9.07
green,0.0,0.0,Mostly Cloudy,48.29,2014-11-21 15:00:00,5.19,6.03
green,0.003,0.45,Possible Drizzle,47.36,2014-11-21 16:00:00,4.952,4.77
green,0.005,0.62,Possible Drizzle,46.86,2014-11-21 17:00:00,4.904,5.16
green,0.003,0.63,Possible Drizzle,47.06,2014-11-21 18:00:00,4.724,5.37
green,0.004,0.59,Possible Drizzle,47.11,2014-11-21 19:00:00,5.778,4.29
green,0.003,0.48,Possible Drizzle,47.03,2014-11-21 20:00:00,5.778,4.4
green,0.0,0.0,Overcast,47.63,2014-11-21 21:00:00,5.591,4.38
green,0.0,0.0,Overcast,47.63,2014-11-21 22:00:00,6.216,5.33
green,0.0,0.0,Overcast,47.64,2014-11-21 23:00:00,5.591,6.33
green,0.0,0.0,Overcast,47.95,2014-11-22 00:00:00,6.216,7.1
green,0.0,0.0,Overcast,48.44,2014-11-22 01:00:00,6.216,5.03
green,0.0,0.0,Overcast,48.63,2014-11-22 02:00:00,5.591,5.54
green,0.0,0.0,Overcast,49.4,2014-11-22 03:00:00,5.591,4.19
green,0.0,0.0,Overcast,49.9,2014-11-22 04:00:00,6.216,4.33
green,0.002,0.11,Overcast,49.99,2014-11-22 05:00:00,6.216,4.3
green,0.005,0.8,Drizzle,50.45,2014-11-22 06:00:00,6.216,4.01
green,0.002,0.31,Possible Drizzle,51.22,2014-11-22 07:00:00,5.591,4.6
green,0.0,0.0,Mostly Cloudy,51.45,2014-11-22 08:00:00,4.286,4.62
green,0.002,0.19,Mostly Cloudy,52.24,2014-11-22 09:00:00,3.487,5.5
green,0.0,0.0,Overcast,53.7,2014-11-22 10:00:00,3.741,6.48
green,0.0,0.0,Mostly Cloudy,54.67,2014-11-22 11:00:00,4.473,6.28
green,0.0,0.0,Overcast,55.6,2014-11-22 12:00:00,5.345,5.47
green,0.001,0.16,Overcast,56.02,2014-11-22 13:00:00,5.225,4.23
green,0.0,0.0,Overcast,56.46,2014-11-22 14:00:00,4.598,4.34
green,0.0,0.0,Overcast,56.5,2014-11-22 15:00:00,5.345,3.66
green,0.0,0.0,Overcast,55.85,2014-11-22 16:00:00,5.225,3.57
green,0.0,0.0,Overcast,55.61,2014-11-22 17:00:00,5.345,3.4
green,0.0,0.0,Mostly Cloudy,55.07,2014-11-22 18:00:00,5.345,3.24
green,0.0,0.0,Overcast,55.08,2014-11-22 19:00:00,4.904,2.73
green,0.0,0.0,Mostly Cloudy,54.94,2014-11-22 20:00:00,4.534,2.58
green,0.0,0.0,Mostly Cloudy,54.64,2014-11-22 21:00:00,4.974,1.81
green,0.0,0.0,Overcast,54.86,2014-11-22 22:00:00,4.974,1.85
green,0.0,0.0,Overcast,54.61,2014-11-22 23:00:00,5.591,1.87
green,0.0,0.0,Overcast,54.43,2014-11-23 00:00:00,4.974,0.52
green,0.001,0.18,Overcast,53.61,2014-11-23 01:00:00,2.488,1.07
green,0.001,0.48,Possible Drizzle,53.39,2014-11-23 02:00:00,3.108,1.55
green,0.009,0.58,Possible Drizzle,53.0,2014-11-23 03:00:00,3.73,2.41
green,0.018,0.72,Light Rain,51.61,2014-11-23 04:00:00,6.216,2.16
green,0.03,0.96,Light Rain,50.92,2014-11-23 05:00:00,3.73,4.69
yellow,0.002,0.33,Possible Flurries,33.93,2014-11-24 07:00:00,6.206,0.98
